x,y
-5.2900057,1.9340364
-4.284247,1.1957965
-4.8424964,2.2381244
-2.8826022,1.7082877
-3.9476614,1.9468048
-5.0887246,2.6230197
-4.2563615,2.3866994
-4.40187,2.042708
-3.057519,0.9852464
-3.2852457,1.4938561
-4.4085736,1.6943412
-3.9462523,1.7411945
-3.634859,2.354028
-4.0144253,2.138828
-4.6183863,4.387412
-2.9956293,5.4069715
-5.5225077,4.9900036
-2.628747,2.7152698
-4.7412014,3.2553387
-3.2399058,5.3993797
-5.2900057,3.9340363
-4.284247,3.1957965
-4.8424964,4.2381244
-2.8826022,3.7082877
-3.9476614,3.9468048
-5.0887246,4.6230197
-4.2563615,4.3866997
-4.40187,4.042708
-3.057519,2.9852464
-3.2852457,3.493856
-4.4085736,3.6943412
-3.9462523,3.7411945
-3.634859,4.3540277
-4.0144253,4.138828
-2.618386,-3.6125877
-0.9956292,-2.5930285
-3.5225077,-3.0099964
-0.62874687,-5.28473
-2.7412014,-4.7446613
-1.2399058,-2.6006205
-3.2900054,-4.0659637
-2.2842472,-4.8042035
-2.8424962,-3.7618756
-0.8826022,-4.2917123
-1.9476615,-4.053195
-3.0887246,-3.3769803
-2.2563615,-3.6133006
-2.4018698,-3.957292
-1.057519,-5.0147533
-1.2852457,-4.506144
-2.4085736,-4.305659
-1.9462523,-4.2588053
-1.6348591,-3.645972
-2.014425,-3.861172
-2.618386,-1.6125878
-0.9956292,-0.59302855
-3.5225077,-1.0099964
-0.62874687,-3.2847302
-2.7412014,-2.7446613
-1.2399058,-0.6006205
-3.2900054,-2.0659637
-2.2842472,-2.8042035
-2.8424962,-1.7618757
-0.8826022,-2.2917123
-1.9476615,-2.0531952
-3.0887246,-1.3769803
-2.2563615,-1.6133006
-2.4018698,-1.957292
-1.057519,-3.0147536
-1.2852457,-2.506144
-2.4085736,-2.3056588
-1.9462523,-2.2588055
-1.6348591,-1.645972
-2.014425,-1.861172
-2.618386,0.38741222
-0.9956292,1.4069715
-3.5225077,0.99000365
-0.62874687,-1.2847302
-2.7412014,-0.7446614
-1.2399058,1.3993795
-3.2900054,-0.06596367
-2.2842472,-0.80420357
-2.8424962,0.23812427
-0.8826022,-0.29171234
-1.9476615,-0.053195182
-3.0887246,0.62301964
-2.2563615,0.38669944
-2.4018698,0.042708017
-1.057519,-1.0147536
-1.2852457,-0.5061439
-2.4085736,-0.30565888
-1.9462523,-0.25880545
-1.6348591,0.35402796
-2.014425,0.13882801
-2.618386,2.3874123
-0.9956292,3.4069715
-3.5225077,2.9900036
-0.62874687,0.7152698
-2.7412014,1.2553387
-1.2399058,3.3993795
-3.2900054,1.9340364
-2.2842472,1.1957965
-2.8424962,2.2381244
-0.8826022,1.7082877
-1.9476615,1.9468048
-3.0887246,2.6230197
-2.2563615,2.3866994
-2.4018698,2.042708
-1.057519,0.9852464
-1.2852457,1.4938561
-2.4085736,1.6943412
-1.9462523,1.7411945
-1.6348591,2.354028
-2.014425,2.138828
-2.618386,4.387412
-0.9956292,5.4069715
-3.5225077,4.9900036
-0.62874687,2.7152698
-2.7412014,3.2553387
-1.2399058,5.3993797
-3.2900054,3.9340363
-2.2842472,3.1957965
-2.8424962,4.2381244
-0.8826022,3.7082877
-1.9476615,3.9468048
-3.0887246,4.6230197
-2.2563615,4.3866997
-2.4018698,4.042708
-1.057519,2.9852464
